City,diesel,petrol
West Godavari,99.36,111.62
West Imphal,87.13,101.19
West Kameng,85.33,96.54
West Karbi Anglong,90.0,98.48
West Khasi Hills,85.61,97.34
West Siang,84.84,95.82
West Singhbhum,95.92,101.13
West Tripura,88.44,99.49
Wokha,88.32,100.3
Yadadri Bhuvanagiri,98.0,109.87
Yadgir,88.25,102.31
Yamunanagar,90.11,97.26
Yanam,86.59,96.82
Yavatmal,93.8,107.29
Zunheboto,89.18,101.32
